SNPID;Company Name;Product Name;JDX;HU
050;Realitone;Fingerpick;74EA4DF01AB142F4C161C95B3247779F2B04FEDCAB80DF7790583A39DBA93EB4;915B731D7726F0D987A48ABC43AD9990
051;Orchestral Tools;Metropolis Ark 2;1001C983ACED664DCF4F3F1548728CE280439A18896B2DABB1AC9B1A2E226C96;88886D81B45746A0AD39103394DC338E
052;Get Good Drums;Matt Halpern Signature pack;9E2EE7D95EFD8524CF8CA4C05A3D7599DBF2B3F1FE043FB103A6E37E124C0BA7;7DA9F62651438BAA77E9D18F751A502E
053;Tovusound;Edward Ultimate Suite;0E43A0C2DF95626EECA1FD84507170349C13CA8EE128D84D01AAC0364954648C;FCC5740F04967DC3B76000BB2A6EBA6F
054;Bechstein;Digital Grand;1DCB758EDCA0EAFD9B3166813CC2B80A4770F443F922EC901B06210DE817E6EF;E9E1C68F87EE68AC3848A7BD76B1C45B
055;Orchestral Tools;Berlin Brass;A31183B834251D56D02415F3D03A34872F26EFB5E73E4C9747D999AD9FD992AD;F6E9806D642DBA3B7F6DBF8A378F756E
056;Orange Tree Samples;Evolution Mandolin;39F1E8C8AE80A3CB278D7F8F4A6A5FF9A9072D0D161E8B0FE94646B4F5295893;87DA5F19C47A1C027DA9AB5DA056E0D1
057;Orange Tree Samples;Evolution Flatpick 6;1159A93E12B3E6988E5E1A9ED96136A42411A0780C1EA663CA35E735ED91AFA8;68DCE62502916294A811CB86B3727C25
058;Spitfire Audio;Spitfire Chamber Strings;685EEA35E074BC8D7DFF7F2006A0F7BD216D3588B698BE4C0547ECEB77E6F2AD;C6ECBC7C99861C50B991EF34E6315B92
059;Native Instruments GmbH;Sierra Grove
060;Spitfire Audio;Spitfire North 7 Vintage Keys;816160C11E370CF1B110671C9BD23E9143C7C4D70D45004C8C8D9796AB872267;BC389DE723DEE40998BF212E9BB0D494
062;Native Instruments GmbH;Symphony Essentials Woodwind Collection;B7B417842E01B98EEE2CFA580C9081E97732F278BA4D07972E762043C5D97024;921B7B0305E3C8C6247732604525E6FE
063;Native Instruments GmbH;Symphony Essentials Brass Collection;07465FE5A0FFC14BACBEA633CA9F1E1FCA85792C20DF545B7AA2EEB9D5FEF2EA;6C99E3D82B64A85CFE71DEDB6CFAC5EB
064;Native Instruments GmbH;Session Guitarist - Strummed Acoustic 2;312E0A5C2EDB402DCE4B614DF430F27ECE3DB5A2D3F1EC8DCFF0AAAA00F81B71;AE5F4642A66E6DEC71B527E618483E5A
065;Wavesfactory;Wavesfactory - Mercury;9F3C841421774FF8587DD48CA393272295D02D4774C95DAD3F89A70B9E76538D;7C905A98404DE47BF8C95816AA5258CC
066;Orange Tree Samples;Evolution Sitardelic;06FB9C2DFF78CACC780C316EA4C322ADA5D32DB37AC67AA683ACE0BB7DB432FE;2E98EE30D53351A9EDF9E3870944B3D0
067;Orange Tree Samples;Evolution Rick 12;15112C61D70664F54A2CFD3B51B7E6BA64E432E39B679BAABC9D2304CE96714E;51BEAD94191FFA4D20618A0ABA7B6658
068;Drumdrops;Drumdrops Folk Rock Kits;8DA4A725F919BA2CAB98B746C5AF4A4081B653EA82942B081B26B0D0B49094C8;FC90B792CBA5305469567FC3C9FDC248
069;Sample Logic;Cinematic Guitars Organic Atmospheres;24C69FFEF9BC2079A203E7EA11144F953527CA77784B75C0FB90F67B8171D432;E622D913545AA6375057FB24675EB25C
070;Sonokinetic;Orchestral Series - Woodwinds Ensemble;C73CFE5AD96774A91BDD092169CF80F2C78AFA79C6EA2BDD970C86A79F10DF2A;4981ABA3B3664590878744BD36A9C33A
071;Heavyocity;GP03 Scoring Guitars;197B58534FD565496F1E0D4C063D4EDF320F078B06EDDE967EACABA9BCDC5135;BD4732E814C06D17BE7B13938D94C019
072;Native Instruments GmbH;Lilac Glare
073;Umlaut Audio;PADS;EF71F037973C854BEB8055CFFE39B80C14C0C03238DB7DEBBFBEAEC8E8CAE5F6;2732BC3D330E631C9109A97B91B52A98
074;Umlaut Audio;ARPS;F6C9600B35B5BFE8DFF986C869BF4344DC015DDA20A2963526852A1D16640D80;BDCAE135D01DB39097BFF74B8789432D
075;Native Instruments GmbH;Symphony Series Woodwind Collection
076;Native Instruments GmbH;Symphony Series Woodwind Ensemble;84F1B4C89AFF23D07E74C402F93F1C39ADA0EBA6FC35E7E8071FF107809F8078;AFD7941D6C7FEC9EF9060B91D933F879
077;Native Instruments GmbH;Symphony Series Woodwind Solo;7154047F2022418EFD725AA83BBC573CD79EDF7D0C9ABC94510E4E0D63605960;19D5CD30AFEDEA8A46B8D3006519E925
078;Cinematic Samples;Cinematic Studio Piano;546EA46F349DC16DFDFC444E8CE5BE9A4DD764A0537DA0946F4B6644CB7C2435;3E2256F70B285F4A8D77019A5B530F48
079;Cinematic Samples;Cinematic Studio Strings;1A14A4844D6274D8DBDE4005EB92B66938E238348E9F9CDB60CBE799917ACDE2;23A7CA53E61E20BD14188963653A84BC
080;Impact Soundworks;Super Audio Cart;BB16D93EB353D10906BE057096E6B9B6FB7B4AF98F15B8D8E547C6D7C6E6ADB5;D2568DB1BECEDDF46479ABC2FCC12F10
